day,customer_id,order_id,net_sales
2020-01-01,2931207569544,1938140889224,57.000
2020-01-02,2883906470024,1938845663368,40.380
2020-01-02,2921724280968,1939080315016,60.570
2020-01-02,2933416132744,1939380666504,57.000
2020-01-02,2931987316872,1938714886280,93.250
2020-01-03,2934494331016,1940207730824,79.270
2020-01-03,2934826860680,1940495859848,56.250
2020-01-04,2902871015560,1941122056328,58.250
2020-01-04,2902871015560,1941117599880,48.450
2020-01-05,2937045221512,1942248456328,56.250
2020-01-05,2937436799112,1942550904968,45.750
2020-01-06,2938323796104,1943263445128,59.400
2020-01-06,2938620444808,1943478698120,60.560
2020-01-06,2679979540616,1942997926024,80.750
2020-01-06,2938148716680,1943141154952,19.000
2020-01-07,2939925463176,1944553324680,47.500
2020-01-07,2939349565576,1944052760712,40.380
2020-01-07,2939349565576,1944050106504,44.000
2020-01-07,1120521289839,1944339120264,64.130
2020-01-07,2939908358280,1944538841224,74.600
2020-01-07,1116081684591,1944221352072,95.000
2020-01-08,2940218638472,1944759533704,36.250
2020-01-08,2940974858376,1945370427528,71.250
2020-01-08,2941266657416,1945590530184,60.570
2020-01-08,2941414146184,1945687130248,57.000
2020-01-09,2941465460872,1945698533512,14.250
2020-01-09,2941118939272,1946352779400,38.890
2020-01-09,2942077862024,1946221772936,51.000
2020-01-09,2942037131400,1946185826440,23.750
2020-01-10,2944161906824,1947023638664,14.250
2020-01-10,2945592131720,1947719434376,56.250
2020-01-11,1042066014319,1948004679816,60.560
2020-01-11,2946225864840,1948224094344,19.000
2020-01-11,1131871404143,1948004515976,60.560
2020-01-11,2945026064520,1947779432584,0.000
2020-01-11,2946959933576,1948843278472,55.040
2020-01-12,2947165585544,1948975399048,118.150
2020-01-12,2948995776648,1950606033032,20.190
2020-01-12,2947892019336,1949696786568,14.250
2020-01-13,2430586847368,1951417893000,40.380
2020-01-13,2950479544456,1951608209544,30.820
2020-01-14,2945609760904,1952784384136,51.480
2020-01-14,2912121290888,1952586236040,60.560
2020-01-14,2953376923784,1953121206408,56.250
2020-01-14,2952860336264,1952858964104,28.500
2020-01-14,2952758788232,1952780615816,36.250
2020-01-14,2430586519688,1952586137736,40.380
2020-01-14,2171182121071,1953195196552,47.500
2020-01-14,2953383936136,1953124941960,36.250
2020-01-15,2958493679752,1954281652360,60.000
2020-01-15,2958593327240,1954347384968,34.320
2020-01-15,2958484832392,1954274836616,38.890
2020-01-15,2956855017608,1953731870856,59.080
2020-01-15,2957877084296,1954158674056,36.250
2020-01-15,2948173529224,1954252226696,68.640
2020-01-15,2958438498440,1954239447176,22.000
2020-01-15,2957746569352,1954152251528,34.320
2020-01-15,2957202227336,1954010792072,20.190
2020-01-15,2956841582728,1953722990728,20.190
2020-01-15,2953555935368,1953382826120,30.820
2020-01-16,2590030856328,1955237232776,60.560
2020-01-16,2958955315336,1954690400392,60.560
2020-01-16,2959821963400,1955257876616,59.080
2020-01-16,2959776088200,1955207741576,23.750
2020-01-16,2958886961288,1954640232584,29.000
2020-01-16,2959833170056,1955270230152,23.750
2020-01-16,2958679015560,1954407153800,36.250
2020-01-16,2959297249416,1954904735880,36.250
